ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,TEXTRANK,0.17165,0.42424,0.24441,3
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,TFIDF,0.29366,0.21607,0.24896,3
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,MOSTRECENT,0.33525,0.32343,0.32924,3
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,RANDOM,0.29580,0.34848,0.31999,3
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,HYBRID-TFIDF,0.39425,0.32606,0.35692,3
ROUGE-1+StopWordRemoval,雄安新区,HYBRID-TFIDF,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,雄安新区,MOSTRECENT,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,雄安新区,TEXTRANK,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,雄安新区,TFIDF,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,雄安新区,RANDOM,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,HYBRID-TFIDF,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,MOSTRECENT,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,RANDOM,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,TEXTRANK,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,TFIDF,0.000,0.000,0.00000,0
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,MOSTRECENT,0.37013,0.51437,0.43049,3
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,TFIDF,0.43454,0.28980,0.34771,3
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,RANDOM,0.50887,0.42063,0.46056,3
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,TEXTRANK,0.34884,0.48116,0.40446,3
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,HYBRID-TFIDF,0.47284,0.38660,0.42539,3
